Response,Word played,Morph played,Device,Reaction time
0,Heim,100,s,0
1,Buch,10,s,405
1,Lamm,_0,s,329
0,Wurm,80,s,0
1,Bein,20,s,578
1,Wurm,30,h,278
0,Arm,60,h,0
1,Lamm,_0,h,454
1,Wurm,40,s,391
1,Heim,20,s,501
0,Bein,_0,h,0
0,Wurm,50,s,0
0,Bahn,100,s,0
0,Bein,50,h,0
0,Baum,40,s,0
0,Bein,100,h,0
1,Arm,30,s,794
1,Bein,_0,s,468
0,Huhn,80,h,0
0,Lamm,60,h,0
1,Huhn,10,s,654
0,Bahn,30,h,0
0,Bein,20,h,0
1,Huhn,10,h,250
0,Helm,80,s,0
0,Buch,60,s,0
0,Helm,40,h,0
0,Bahn,50,h,0
0,Baum,100,s,0
0,Bein,60,s,0
1,Heim,_0,h,469
1,Bein,10,s,328
1,Heim,40,s,346
0,Huhn,80,s,0
0,Buch,20,h,0
1,Baum,10,h,438
1,Huhn,30,h,360
0,Bahn,60,h,0
1,Arm,50,s,467
1,Huhn,30,s,686
0,Lamm,80,h,0
0,Heim,40,h,0
0,Buch,20,s,0
0,Arm,100,h,0
1,Baum,_0,s,156
1,Arm,30,s,93
0,Bahn,40,s,0
1,Heim,_0,h,235
0,Helm,80,s,0
0,Wurm,60,h,0
0,Lamm,60,s,0
0,Helm,100,h,0
1,Bahn,10,s,282
0,Heim,100,s,0
1,Helm,20,h,548
0,Bein,50,h,0
1,Bahn,20,s,419
0,Helm,80,h,0
1,Huhn,40,h,485
1,Heim,30,h,1047
1,Bein,10,h,297
1,Baum,_0,s,234
1,Arm,50,s,1348
1,Huhn,_0,s,235
1,Baum,_0,h,219
1,Buch,30,s,595
0,Helm,60,h,0
1,Heim,40,h,453
0,Bahn,50,s,0
0,Arm,50,h,0
0,Huhn,100,s,0
0,Heim,80,s,0
1,Wurm,30,h,470
1,Baum,20,s,296
1,Arm,20,h,813
1,Bahn,10,h,174
1,Wurm,40,s,218
1,Heim,10,s,296
0,Helm,60,s,0
0,Bahn,80,h,0
0,Bein,100,h,0
1,Buch,10,s,1781
0,Wurm,60,h,0
1,Buch,40,h,983
0,Bahn,50,s,0
0,Bein,30,h,0
0,Bahn,50,h,0
1,Arm,10,h,594
0,Heim,80,h,0
0,Buch,80,s,0
1,Bahn,20,h,159
1,Arm,_0,h,235
1,Baum,30,s,391
0,Arm,100,h,0
1,Heim,20,s,296
1,Lamm,_0,s,199
0,Buch,100,s,0
1,Arm,40,s,1360
0,Wurm,60,s,0
